"lc-5","ln-5-2","lns-5-2","1",2020-01-03,2079-06-06
"lc-1","ln-1-1","lns-1-1","1",2020-12-25,2021-01-01
"lc-1","ln-1-3","lns-1-3","1",2021-02-01,2079-06-01
"lc-1","ln-1-2","lns-1-2","1",2021-01-02,2021-01-31
"lc-2","ln-2-3","lns-2-3","0",2024-12-05,2099-01-01
"lc-2","ln-2-1","lns-2-1","0",2020-12-02,2024-12-01
"lc-2","ln-2-2","lns-2-2","0",2024-12-02,2024-12-04
"lc-3","ln-3-1","lns-3-1","0",2024-12-02,2019-01-02
"lc-4","ln-4-1","lns-4-1","1",2020-01-01,2021-01-02
"lc-5","ln-5-1","lns-5-1","1",2020-01-01,2021-01-02
